Pb /mbar, g1 /mbar, g2 /mbar, Ip /uA
9.0E-2, 1.74e-7, 1.5e-7, 68
9.5E-2, 1.86E-7, 1.5E-7, 68
1.0E-1, 2.12E-7, 1.8E-7, 76
1.1E-1, 2.48E-7, 2.0E-7, 86
1.2E-1, 2.86E-7, 2.2E-7, 98
1.4E-1, 4.62E-7, 3.5E-7, 150
1.6E-1, 5.3e-7, 3.9E-7, 167
1.8E-1, 5.76E-7, 4.3E-7, 180
2.0E-1, 6.9E-7, 5.0E-7, 213
2.2E-1, 7.48E-7, 5.5E-7, 231
2.6E-1, 9.36E-7, 6.8E-7, 284
3.0E-1, 1.1E-6, 8.4E-7, 335
3.6E-1, 1.32E-6, 9.1E-7, 392
4.0E-1, 1.5E-6, 1.0E-6, 440
4.4E-1, 1.7E-6, 1.2E-6, 499
5.0E-1, 1.9E-6, 1.4E-6, 556
5.6E-1, 2.4E-6, 1.7E-6, 680
6.2E-1, 2.7E-6, 1.9E-6, 808